Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w,Calculated atomic coordinates u,Calculated atomic coordinates v,Calculated atomic coordinates w,x,y,z
2,1,0,679005,0,701318,0,17033,721039,730232,17014
2,1,0,717298,0,642129,0,231319,738414,65675,232369
2,1,0,489336,0,303751,0,88462,477676,263221,88712
2,1,0,413957,0,632996,0,40843,408823,657897,39796
2,1,0,334292,0,543401,0,15989,303349,558807,157373
2,1,0,510664,0,696249,0,255128,496977,725608,25597
2,1,0,413957,0,632996,0,374176,390878,657645,374735
2,1,0,712552,0,55479,0,112271,750056,561494,114944
2,1,0,320995,0,298682,0,1837,281301,261433,182779
2,1,0,394742,0,279367,0,302747,35086,2335,302196
2,1,0,282702,0,357871,0,397985,229138,328729,398581
2,1,0,320995,0,298682,0,517033,278752,269615,51733
2,1,0,605258,0,720633,0,469414,613415,760009,469452
2,1,0,510664,0,696249,0,588462,521991,736991,588946
2,1,0,679005,0,701318,0,6837,718811,738577,68244
2,1,0,605258,0,720633,0,802747,649178,766301,80193
2,1,0,665708,0,456599,0,326557,680389,444562,327502
2,1,0,712552,0,55479,0,445605,737216,552056,443517
2,1,0,586043,0,367004,0,540843,591153,342069,540172
2,1,0,665708,0,456599,0,65989,697242,441516,657521
2,1,0,287448,0,44521,0,612271,249571,438057,614939
2,1,0,282702,0,357871,0,731319,262916,343512,732213
2,1,0,334292,0,543401,0,826557,320053,555754,827503
2,1,0,287448,0,44521,0,945605,262054,44817,943402
2,1,0,717298,0,642129,0,897985,770521,670869,898389
2,1,0,489336,0,303751,0,755128,50356,27443,75629
2,1,0,586043,0,367004,0,874176,609,342123,875088
2,1,0,394742,0,279367,0,969414,385666,240071,969157
3,1,0,591598,0,760361,0,5909,59912,779052,58651
3,1,0,24301,0,424391,0,20628,222068,414703,20882
3,1,0,348135,0,611237,0,84731,337437,618899,85676
3,1,0,300826,0,550669,0,174474,287789,556575,174486
3,1,0,732854,0,724426,0,123192,754953,742501,123074
3,1,0,696244,0,751243,0,212936,716721,774579,211887
3,1,0,764136,0,633981,0,277038,787393,647285,277407
3,1,0,755932,0,684567,0,366782,775712,700545,366505
3,1,0,699174,0,449331,0,7807,72086,444281,759
3,1,0,734908,0,512843,0,97551,762097,516121,96337
3,1,0,303756,0,248757,0,46269,293584,229065,47346
3,1,0,351772,0,236542,0,136013,349972,22059,136027
3,1,0,244068,0,315433,0,200115,232016,304156,201163
3,1,0,267146,0,275574,0,289859,259193,263096,289735
3,1,0,465969,0,709835,0,238577,467543,732466,238691
3,1,0,40427,0,665341,0,32832,398427,685067,327159
3,1,0,591598,0,760361,0,392423,599318,782562,392936
3,1,0,529645,0,742134,0,482166,529179,763965,48165
3,1,0,59573,0,334659,0,161654,613188,322504,16211
3,1,0,651865,0,388763,0,251397,674862,383646,250882
3,1,0,470355,0,257866,0,3155,476696,239962,316373
3,1,0,534031,0,290165,0,405243,543931,27459,405442
3,1,0,24301,0,424391,0,353961,22811,42237,353687
3,1,0,235864,0,366019,0,443705,21931,358527,442351
3,1,0,300826,0,550669,0,507807,27914,555719,50759
3,1,0,265092,0,487157,0,597551,237903,483879,596337
3,1,0,696244,0,751243,0,546269,706416,770935,547346
3,1,0,648228,0,763458,0,636013,650028,77941,636027
3,1,0,755932,0,684567,0,700115,767984,695844,701163
3,1,0,732854,0,724426,0,789859,740808,736904,789735
3,1,0,734908,0,512843,0,430884,76046,51884,432119
3,1,0,75699,0,575609,0,520628,777932,585297,520882
3,1,0,351772,0,236542,0,469346,345355,221578,469496
3,1,0,408402,0,239639,0,55909,40088,220949,558651
3,1,0,267146,0,275574,0,623192,245047,257499,623074
3,1,0,303756,0,248757,0,712936,283279,225421,711887
3,1,0,40427,0,665341,0,661654,386812,677496,66211
3,1,0,348135,0,611237,0,751397,325138,616354,750882
3,1,0,529645,0,742134,0,8155,523304,760038,816373
3,1,0,465969,0,709835,0,905243,456069,72541,905442
3,1,0,764136,0,633981,0,943705,78069,641473,942351
3,1,0,651865,0,388763,0,584731,662563,381101,585676
3,1,0,699174,0,449331,0,674474,712211,443425,674486
3,1,0,534031,0,290165,0,738577,532457,267534,738691
3,1,0,59573,0,334659,0,82832,601573,314933,827159
3,1,0,235864,0,366019,0,777038,212606,352715,777407
3,1,0,244068,0,315433,0,866782,224287,299455,866505
3,1,0,265092,0,487157,0,930884,23954,48116,932119
3,1,0,648228,0,763458,0,969346,654645,778422,969496
3,1,0,75699,0,575609,0,853961,77189,57763,853688
3,1,0,408402,0,239639,0,892423,400682,217438,892936
3,1,0,470355,0,257866,0,982166,470821,236035,98165
3,2,0,637257,0,791312,0,32917,636717,803969,32929
3,2,0,403783,0,690165,0,41689,393472,694676,41784
3,2,0,31966,0,608137,0,111865,30593,607015,112105
3,2,0,743096,0,760817,0,94321,753137,775437,94168
3,2,0,677708,0,788935,0,164496,682379,804355,164358
3,2,0,766249,0,735843,0,2259,777945,749432,225798
3,2,0,713311,0,778677,0,296075,720745,794402,296029
3,2,0,549619,0,276071,0,6602,555071,269279,6501
3,2,0,233751,0,264157,0,59233,219019,246063,59347
3,2,0,209389,0,3741,0,120637,19467,363701,120952
3,2,0,21786,0,295564,0,190812,205895,280628,191151
3,2,0,450381,0,723929,0,173268,445071,732091,173231
3,2,0,359809,0,651213,0,243444,348764,654129,243503
3,2,0,498332,0,751585,0,304847,495486,763508,304887
3,2,0,403783,0,690165,0,375023,39409,694968,375015
3,2,0,78214,0,704436,0,357479,797217,718068,357196
3,2,0,743096,0,760817,0,427654,754694,777448,427477
3,2,0,790335,0,667452,0,489058,807952,681054,489132
3,2,0,766249,0,735843,0,559233,780981,753937,559347
3,2,0,74492,0,485609,0,15373,75736,487774,15348
3,2,0,782959,0,580915,0,85549,795642,588879,85488
3,2,0,406938,0,214257,0,68005,402862,199315,67847
3,2,0,501668,0,248415,0,138181,505401,236223,137935
3,2,0,362743,0,208688,0,199584,358686,192911,199771
3,2,0,453671,0,227621,0,269759,458173,215511,269828
3,2,0,217041,0,419085,0,252216,204773,412301,252384
3,2,0,209665,0,332548,0,322391,198094,319888,322493
3,2,0,232411,0,466278,0,383795,219043,460817,383849
3,2,0,209389,0,3741,0,45397,196708,362862,454006
3,2,0,546329,0,772379,0,436426,546758,784127,436204
3,2,0,450381,0,723929,0,506602,444929,730721,506501
3,2,0,593062,0,785743,0,568005,597138,800685,567847
3,2,0,498332,0,751585,0,638181,494599,763777,637935
3,2,0,78214,0,704436,0,690812,794105,719372,691151
3,2,0,790335,0,667452,0,822391,801906,680112,822493
3,2,0,71557,0,437889,0,146952,72519,436767,146746
3,2,0,767589,0,533722,0,217128,781561,539864,216971
3,2,0,68034,0,391863,0,278531,693294,389132,27849
3,2,0,74492,0,485609,0,348707,763292,491718,348524
3,2,0,322292,0,211065,0,331163,318833,197217,331324
3,2,0,406938,0,214257,0,401338,411354,203804,401423
3,2,0,286689,0,221323,0,462742,280845,207219,462711
3,2,0,362743,0,208688,0,532917,363282,196031,532929
3,2,0,25508,0,514391,0,515373,242639,512226,515348
3,2,0,217041,0,419085,0,585549,204358,411121,585488
3,2,0,28443,0,562111,0,646952,27481,563233,646746
3,2,0,232411,0,466278,0,717128,218439,460136,716971
3,2,0,637257,0,791312,0,699584,641314,807089,699771
3,2,0,546329,0,772379,0,769759,541827,784489,769828
3,2,0,677708,0,788935,0,831163,681167,802783,831324
3,2,0,593062,0,785743,0,901338,588646,796196,901423
3,2,0,640191,0,348787,0,41011,653342,346247,410181
3,2,0,71557,0,437889,0,480286,732212,442763,480441
3,2,0,596217,0,309835,0,541689,606528,305324,541784
3,2,0,68034,0,391863,0,611865,69407,392986,612105
3,2,0,256904,0,239183,0,594321,246863,224563,594168
3,2,0,322292,0,211065,0,664496,317621,195645,664358
3,2,0,233751,0,264157,0,7259,222055,250569,725798
3,2,0,286689,0,221323,0,796075,279255,205597,796029
3,2,0,31966,0,608137,0,778531,306706,610868,77849
3,2,0,25508,0,514391,0,848707,236708,508282,848524
3,2,0,359809,0,651213,0,91011,346659,653753,910181
3,2,0,28443,0,562111,0,980286,267788,557237,980441
3,2,0,713311,0,778677,0,962742,719155,792781,962711
3,2,0,790611,0,6259,0,620637,805331,636299,620952
3,2,0,549619,0,276071,0,673268,554928,267909,673231
3,2,0,640191,0,348787,0,743444,651236,345871,743503
3,2,0,501668,0,248415,0,804847,504514,236492,804887
3,2,0,596217,0,309835,0,875023,60591,305032,875015
3,2,0,21786,0,295564,0,857479,202783,281932,857196
3,2,0,256904,0,239183,0,927654,245306,222552,927477
3,2,0,209665,0,332548,0,989058,192048,318946,989132
3,2,0,782959,0,580915,0,752216,795227,587699,752384
3,2,0,767589,0,533722,0,883795,780957,539183,883849
3,2,0,790611,0,6259,0,95397,803292,637138,954006
3,2,0,453671,0,227621,0,936426,453242,215873,936204
4,1,0,798626,0,65477,0,39988,812277,658326,40916
4,1,0,794352,0,691116,0,111416,807185,697932,111388
4,1,0,212784,0,427407,0,63797,198483,426673,63134
4,1,0,560308,0,783502,0,16178,565293,801366,16747
4,1,0,516033,0,766319,0,87607,518262,783893,87303
4,1,0,681264,0,79623,0,135226,690505,811887,135963
4,1,0,643856,0,798626,0,206655,653283,815991,206572
4,1,0,723194,0,439692,0,16178,733703,431654,15953
4,1,0,356144,0,201374,0,39988,347059,184129,39263
4,1,0,233681,0,249714,0,87607,220388,238728,87568
4,1,0,256813,0,228213,0,159036,243065,215492,158191
4,1,0,308884,0,603235,0,111416,298531,612095,111617
4,1,0,276806,0,560308,0,182845,265631,568083,182279
4,1,0,427407,0,714623,0,230464,424498,730007,230823
4,1,0,385034,0,681264,0,301893,38078,69492,301449
4,1,0,766319,0,750286,0,254274,779609,761253,255146
4,1,0,743187,0,771787,0,325702,756305,783672,325794
4,1,0,798626,0,65477,0,373321,812277,658325,374249
4,1,0,794352,0,691116,0,44475,807184,697932,444721
4,1,0,572593,0,285377,0,63797,575221,270349,64318
4,1,0,614966,0,318736,0,135226,619361,306347,134796
4,1,0,439692,0,216498,0,182845,434731,199076,183122
4,1,0,483967,0,233681,0,254274,48176,214825,253602
4,1,0,201374,0,34523,0,206655,18762,340879,20662
4,1,0,205648,0,308884,0,278083,194081,302779,277111
4,1,0,228213,0,471401,0,325702,216119,472308,325774
4,1,0,212784,0,427407,0,397131,198483,426673,396467
4,1,0,560308,0,783502,0,349512,565293,801366,350081
4,1,0,516033,0,766319,0,42094,518261,783893,420636
4,1,0,681264,0,79623,0,468559,690505,811887,469296
4,1,0,643856,0,798626,0,539988,653282,815991,539906
4,1,0,771787,0,528599,0,159036,784977,528527,159828
4,1,0,787216,0,572593,0,230464,80108,573294,230421
4,1,0,691116,0,396765,0,278083,70063,387602,278662
4,1,0,723194,0,439692,0,349512,733703,431653,349287
4,1,0,318736,0,20377,0,301893,309563,187916,301969
4,1,0,356144,0,201374,0,373321,347059,184129,372596
4,1,0,233681,0,249714,0,42094,220388,238728,420901
4,1,0,256813,0,228213,0,492369,243066,215492,491525
4,1,0,308884,0,603235,0,44475,298531,612095,444951
4,1,0,276806,0,560308,0,516178,265631,568083,515612
4,1,0,427407,0,714623,0,563797,424498,730007,564156
4,1,0,385034,0,681264,0,635226,38078,69492,634783
4,1,0,766319,0,750286,0,587607,779608,761253,588479
4,1,0,743187,0,771787,0,659036,756305,783671,659127
4,1,0,798626,0,65477,0,706655,812277,658326,707583
4,1,0,794352,0,691116,0,778083,807185,697932,778054
4,1,0,572593,0,285377,0,397131,575221,270348,397652
4,1,0,614966,0,318736,0,468559,619361,306346,468129
4,1,0,439692,0,216498,0,516178,434732,199076,516456
4,1,0,483967,0,233681,0,587607,48176,214825,586935
4,1,0,201374,0,34523,0,539988,18762,340879,539953
4,1,0,205648,0,308884,0,611416,194081,30278,610445
4,1,0,228213,0,471401,0,659036,216119,472308,659108
4,1,0,212784,0,427407,0,730464,198483,426673,7298
4,1,0,560308,0,783502,0,682845,565293,801366,683414
4,1,0,516033,0,766319,0,754274,518261,783893,75397
4,1,0,681264,0,79623,0,801893,690505,811887,80263
4,1,0,643856,0,798626,0,873321,653282,81599,873239
4,1,0,771787,0,528599,0,492369,784977,528527,493161
4,1,0,787216,0,572593,0,563797,80108,573293,563754
4,1,0,691116,0,396765,0,611416,70063,387602,611996
4,1,0,723194,0,439692,0,682845,733703,431653,68262
4,1,0,318736,0,20377,0,635226,309563,187917,635302
4,1,0,356144,0,201374,0,706655,347059,184129,705929
4,1,0,233681,0,249714,0,754274,220388,238728,754234
4,1,0,256813,0,228213,0,825702,243066,215492,824858
4,1,0,308884,0,603235,0,778083,298531,612095,778284
4,1,0,276806,0,560308,0,849512,265631,568083,848945
4,1,0,427407,0,714623,0,897131,424498,730006,89749
4,1,0,385034,0,681264,0,968559,38078,694919,968116
4,1,0,766319,0,750286,0,92094,779609,761253,921812
4,1,0,743187,0,771787,0,992369,756305,783672,99246
4,1,0,572593,0,285377,0,730464,575221,270349,730985
4,1,0,614966,0,318736,0,801893,619361,306347,801462
4,1,0,439692,0,216498,0,849512,434732,199076,849789
4,1,0,483967,0,233681,0,92094,48176,214825,920268
4,1,0,201374,0,34523,0,873321,18762,340879,873286
4,1,0,205648,0,308884,0,94475,194081,302779,943778
4,1,0,228213,0,471401,0,992369,216119,472308,992441
4,1,0,771787,0,528599,0,825702,784977,528527,826495
4,1,0,787216,0,572593,0,897131,80108,573293,897087
4,1,0,691116,0,396765,0,94475,700631,387602,945329
4,1,0,318736,0,20377,0,968559,309563,187917,968636
